Id Igreja,Nome Igreja,Status Igreja,Score,Algum gestor resp. eventos,Nível,Nível (Cor)
2.480,Nova Batista Tatuapé,publicado,77,Sim,3 - Em Desenvolvimento (Yellow),https://www.colorcombos.com/images/colors/F6FF00.png
2.843,Igreja Evangélica 5G Church,publicado,77,Sim,3 - Em Desenvolvimento (Yellow),https://www.colorcombos.com/images/colors/F6FF00.png
3.124,A Ponte Caruaru,publicado,77,Sim,3 - Em Desenvolvimento (Yellow),https://www.colorcombos.com/images/colors/F6FF00.png
3.320,Igreja Batista Atitude Orlando,publicado,77,Sim,3 - Em Desenvolvimento (Yellow),https://www.colorcombos.com/images/colors/F6FF00.png
381,Igreja A Ponte,publicado,74,Sim,3 - Em Desenvolvimento (Yellow),https://www.colorcombos.com/images/colors/F6FF00.png
3.010,IEQ Avaré- Regional,publicado,74,Sim,3 - Em Desenvolvimento (Yellow),https://www.colorcombos.com/images/colors/F6FF00.png
195,Assembléia de Deus em Jardim Alvorada (adeja),publicado,72,Sim,3 - Em Desenvolvimento (Yellow),https://www.colorcombos.com/images/colors/F6FF00.png
529,Ministério Catch The Fire Novo Hamburgo,publicado,72,Sim,3 - Em Desenvolvimento (Yellow),https://www.colorcombos.com/images/colors/F6FF00.png
2.177,Lagoinha Canoas,publicado,72,Sim,3 - Em Desenvolvimento (Yellow),https://www.colorcombos.com/images/colors/F6FF00.png
1.462,Igreja Verbo da Vida Ibura,publicado,71,Sim,3 - Em Desenvolvimento (Yellow),https://www.colorcombos.com/images/colors/F6FF00.png
2.239,Lagoinha Cacoal,publicado,69,Sim,3 - Em Desenvolvimento (Yellow),https://www.colorcombos.com/images/colors/F6FF00.png
2.336,Lagoinha Cascavel,publicado,69,Sim,3 - Em Desenvolvimento (Yellow),https://www.colorcombos.com/images/colors/F6FF00.png
3.126,FAMÍLIA DOS QUE CREEM,publicado,69,Sim,3 - Em Desenvolvimento (Yellow),https://www.colorcombos.com/images/colors/F6FF00.png
3.145,ICB de Sinop,entregue,69,Sim,3 - Em Desenvolvimento (Yellow),https://www.colorcombos.com/images/colors/F6FF00.png
3.219,FBT Church,publicado,69,Sim,3 - Em Desenvolvimento (Yellow),https://www.colorcombos.com/images/colors/F6FF00.png
3.249,IAAP - BRISTOL,entregue,69,Não,3 - Em Desenvolvimento (Yellow),https://www.colorcombos.com/images/colors/F6FF00.png
2.038,Safeway Church,publicado,66,Sim,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png
334,Igreja do Amor Brasil,publicado,64,Sim,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png
